State_Name,District_Name,Crop_Year,Season,Crop,Area,rainfall,Average Humidity,Mean Temp,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare) ,cost of production per yield
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,0.0123605,57,62,23076.74,1941.55,9.83,19085.4365
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,0.0841193,56,58,12610.85,1691.66,6.83,11554.0378
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,0.08006364,58,53,32683.46,3207.35,9.33,29924.5755
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,0.18105142,57,58,13209.32,2228.97,5.9,13150.923
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,0.03544632,63,67,22560.3,1595.56,13.57,21651.7492
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,795.67,0.16655553,27,64,35423.48,804.8,39.83,32055.184
Bihar,MADHUBANI,1999,Kharif     ,Horse-gram,456,0,24,88,19259.84,731.25,36.61,26771.0625
Bihar,MADHUBANI,2000,Kharif     ,Horse-gram,637,0,23,95,13209.32,658.77,9.33,6146.3241
Bihar,MADHUBANI,2001,Kharif     ,Horse-gram,871,0,58,86,85801.95,1882.68,19.05,35865.054
Bihar,MADHUBANI,2002,Kharif     ,Horse-gram,361,0,45,87,45291.24,683.58,1015.45,694141.311
Bihar,MADHUBANI,2003,Kharif     ,Horse-gram,400,0,40,82,29876.36,1595.56,67.41,107556.6996
Bihar,MADHUBANI,2004,Kharif     ,Horse-gram,475,0,43,71,86765.77,2228.97,13.7,30536.889
Chhattisgarh,MAHASAMUND,2010,Whole Year ,Banana,3,0.28809325,48,78,19083.55,2277.68,10.93,24895.0424
Chhattisgarh,MAHASAMUND,2011,Whole Year ,Banana,7,0.07730968,15,88,7868.64,683.58,34.99,23918.4642
Chhattisgarh,MAHASAMUND,2012,Whole Year ,Banana,9,0,20,93,45239.51,1341.29,56,75112.24
Chhattisgarh,MAHASAMUND,2013,Whole Year ,Banana,14,0.00233476,21,96,28144.5,840.58,31.1,26142.038
Chhattisgarh,MAHASAMUND,2014,Whole Year ,Banana,19,0,68,86,89025.27,2277.68,19.9,45325.832
Chhattisgarh,MUNGELI,2011,Whole Year ,Banana,12,0,45,87,45291.24,683.58,1015.45,694141.311
Chhattisgarh,MUNGELI,2012,Whole Year ,Banana,12,0,57,82,91442.63,715.04,1.32,943.8528
Chhattisgarh,MUNGELI,2013,Whole Year ,Banana,13,0,32,73,7868.64,1559.04,19.9,31024.896
Chhattisgarh,MUNGELI,2014,Whole Year ,Banana,15,0.07029979,31,59,19259.84,804.8,986.21,793701.808
Chhattisgarh,NARAYANPUR,2006,Whole Year ,Banana,2,0.00797621,54,62,45239.51,2614.14,9.33,24389.9262
Chhattisgarh,NARAYANPUR,2007,Whole Year ,Banana,3,0.00417157,57,58,16528.68,2172.46,7.47,16228.2762
Chhattisgarh,NARAYANPUR,2008,Whole Year ,Banana,3,0.18105142,57,58,13209.32,2228.97,5.9,13150.923
Chhattisgarh,NARAYANPUR,2009,Whole Year ,Banana,4,0.18104788,42,63,25909.05,2003.76,12.69,25427.7144
Chhattisgarh,NARAYANPUR,2010,Whole Year ,Banana,4,0.15342658,32,76,17705.93,669.86,39.04,26151.3344
Chhattisgarh,NARAYANPUR,2011,Whole Year ,Banana,6,0.04954826,21,90,86765.77,1559.04,10.93,17040.3072
Chhattisgarh,NARAYANPUR,2012,Whole Year ,Banana,6,0,19,92,85801.95,1251.12,13.57,16977.6984
Chhattisgarh,NARAYANPUR,2013,Whole Year ,Banana,4,0,27,94,22489.75,2554.91,8.05,20567.0255
Chhattisgarh,NARAYANPUR,2014,Whole Year ,Banana,6,0.00464197,70,82,35423.48,93.64,13.57,1270.6948
Chhattisgarh,RAIGARH,2000,Whole Year ,Banana,16,0.00279849,60,83,17705.93,5777.48,13.7,79151.476
Chhattisgarh,RAIGARH,2001,Whole Year ,Banana,15,0,91,78,7868.64,2554.91,10.93,27925.1663
Chhattisgarh,RAIGARH,2002,Whole Year ,Banana,12,0,37,74,35423.48,1691.66,12.69,21467.1654
Chhattisgarh,RAIGARH,2003,Whole Year ,Banana,18,0.01243261,47,62,86765.77,3670.54,39.83,146197.6082
Chhattisgarh,RAIGARH,2004,Whole Year ,Banana,5,0.02179417,48,64,45291.24,86.53,12.94,1119.6982
Chhattisgarh,RAIGARH,2005,Whole Year ,Banana,26,0.05361401,64,60,28144.5,732.62,36.61,26821.2182
Chhattisgarh,RAIGARH,2006,Whole Year ,Banana,15,0.20867334,58,68,31902.74,658.77,31.1,20487.747
Chhattisgarh,RAIGARH,2007,Whole Year ,Banana,95,0.01812981,18,90,45239.51,2277.68,10.29,23437.3272
Chhattisgarh,RAIGARH,2008,Whole Year ,Banana,24,0,22,92,45291.24,2775.8,7.47,20735.226
Chhattisgarh,RAIGARH,2009,Whole Year ,Banana,109,0.00907195,91,77,29876.36,119.72,19.94,2387.2168
Chhattisgarh,RAIGARH,2010,Whole Year ,Banana,98,0,58,86,86765.77,669.86,6.7,4488.062
Chhattisgarh,RAIGARH,2011,Whole Year ,Banana,26,0,83,82,17705.93,840.58,42.95,36102.911
Chhattisgarh,RAIGARH,2012,Whole Year ,Banana,101,0,35,73,13209.32,3484.01,6.83,23795.7883
Chhattisgarh,RAIGARH,2013,Whole Year ,Banana,95,0.01225841,47,63,89025.27,2003.76,9.83,19696.9608
Chhattisgarh,RAIGARH,2014,Whole Year ,Banana,92,0.01770803,47,70,19259.84,85.79,11.61,996.0219
Chhattisgarh,RAIPUR,2000,Whole Year ,Banana,21,0.05361401,64,60,28144.5,732.62,36.61,26821.2182
Chhattisgarh,RAIPUR,2001,Whole Year ,Banana,19,0.22460861,64,66,35423.48,581.69,42.95,24983.5855
Chhattisgarh,RAIPUR,2002,Whole Year ,Banana,22,0.01812981,18,90,45239.51,2277.68,10.29,23437.3272
Chhattisgarh,RAIPUR,2003,Whole Year ,Banana,29,0,17,92,19259.84,2509.99,8.72,21887.1128
Chhattisgarh,RAIPUR,2004,Whole Year ,Banana,24,0,86,82,33046.12,2172.46,39.83,86529.0818
Chhattisgarh,RAIPUR,2005,Whole Year ,Banana,39,0.08645341,59,83,7868.64,119.72,11.61,1389.9492
Chhattisgarh,RAIPUR,2006,Whole Year ,Banana,52,0,40,82,29876.36,1595.56,67.41,107556.6996
Chhattisgarh,RAIPUR,2007,Whole Year ,Banana,35,0.00858497,35,66,22489.75,731.25,1.32,965.25
Chhattisgarh,RAIPUR,2008,Whole Year ,Banana,44,0,45,64,86765.77,2068.67,42.95,88849.3765
Chhattisgarh,RAIPUR,2009,Whole Year ,Banana,52,0.12855534,59,56,30393.66,2358,11.98,28248.84
Chhattisgarh,RAIPUR,2010,Whole Year ,Banana,40,0.2535624,47,76,22560.3,1882.68,10.29,19372.7772
Chhattisgarh,RAIPUR,2011,Whole Year ,Banana,66,0.08412435,22,84,29876.36,804.8,23.59,18985.232
Chhattisgarh,RAIPUR,2012,Whole Year ,Banana,101,0.0018103,23,94,17705.93,715.04,6.7,4790.768
Chhattisgarh,RAIPUR,2013,Whole Year ,Banana,102,0,25,95,35423.48,2358,16.69,39355.02
Chhattisgarh,RAIPUR,2014,Whole Year ,Banana,99,0,86,82,33046.12,2172.46,39.83,86529.0818
Chhattisgarh,RAJNANDGAON,2000,Whole Year ,Banana,15,0.05615822,67,87,31902.74,1251.12,12.94,16189.4928
Chhattisgarh,RAJNANDGAON,2001,Whole Year ,Banana,5,0,57,82,91442.63,715.04,1.32,943.8528
Chhattisgarh,RAJNANDGAON,2002,Whole Year ,Banana,36,0,45,70,19083.55,2614.14,42.95,112277.313
Chhattisgarh,RAJNANDGAON,2003,Whole Year ,Banana,4,0.08593014,55,56,17705.93,404.43,16.69,6749.9367
